,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date
0,Hobart,AU,-42.8794,147.3294,68.0,42,75,18.41,1612757559
1,Ushuaia,AR,-54.8,-68.3,51.8,82,75,2.3,1612757811
2,Saint George,US,37.1041,-113.5841,53.01,29,1,3.44,1612757710
3,George Town,MY,5.4112,100.3354,89.6,51,20,5.75,1612757850
4,Bluff,NZ,-46.6,168.3333,61.25,72,100,12.39,1612757850
5,Lebu,CL,-37.6167,-73.65,58.3,93,95,3.56,1612757850
6,Qaanaaq,GL,77.484,-69.3632,16.84,86,100,6.31,1612757851
7,Albany,US,42.6001,-73.9662,21.0,53,22,1.99,1612757851
8,Mataura,NZ,-46.1927,168.8643,76.87,35,95,2.51,1612757272
9,Tura,IN,25.5198,90.2201,74.25,31,0,4.27,1612757723
10,Tuktoyaktuk,CA,69.4541,-133.0374,-29.2,75,40,9.22,1612757269
11,Haines Junction,CA,60.7522,-137.5108,-22.0,76,25,1.14,1612757267
12,Alofi,NU,-19.0595,-169.9187,84.2,79,75,8.05,1612757852
13,Harper,LR,4.375,-7.7169,78.67,90,39,5.08,1612757852
14,Karratha,AU,-20.7377,116.8463,86.61,49,0,9.37,1612757853
15,New Norfolk,AU,-42.7826,147.0587,69.01,57,82,3.0,1612757853
16,Torbay,CA,47.6666,-52.7314,30.0,74,90,16.11,1612757853
17,Bengkulu,ID,-3.8004,102.2655,85.37,60,85,8.93,1612757854
18,Rundu,NA,-17.9333,19.7667,68.07,92,100,8.19,1612757854
19,Magistral'nyy,RU,56.1725,107.4458,25.25,95,100,7.05,1612757855
20,Cabo San Lucas,MX,22.8909,-109.9124,66.2,63,40,8.05,1612757755
21,Bagan,RU,54.1001,77.6646,17.01,97,97,15.35,1612757856
22,Vaini,TO,-21.2,-175.2,77.0,94,90,11.5,1612757857
23,Mufulira,ZM,-12.5498,28.2407,63.99,98,100,3.56,1612757857
24,Kaitangata,NZ,-46.2817,169.8464,64.99,78,100,1.99,1612757858
25,Kapit,MY,2.0167,112.9333,89.44,59,74,2.33,1612757858
26,Felipe Carrillo Puerto,MX,19.5833,-88.05,71.64,98,1,2.62,1612757858
27,Chui,UY,-33.6971,-53.4616,63.86,86,19,5.32,1612757858
28,Barrow,US,71.2906,-156.7887,-27.4,68,1,4.61,1612757859
29,Bemidji,US,47.4736,-94.8803,-20.0,76,1,6.91,1612757859
30,Punta Arenas,CL,-53.15,-70.9167,57.2,44,75,8.05,1612757859
31,Botou,CN,38.0667,116.5667,43.02,49,4,5.64,1612757859
32,Puerto Ayora,EC,-0.7393,-90.3518,77.0,94,100,5.59,1612757859
33,Avarua,CK,-21.2078,-159.775,84.2,74,40,8.05,1612757860
34,Bandarbeyla,SO,9.4942,50.8122,76.33,73,92,20.29,1612757860
35,Puerto Baquerizo Moreno,EC,-0.9,-89.6,76.84,90,98,5.79,1612757860
36,Alta Floresta,BR,-9.8756,-56.0861,68.94,98,100,0.29,1612757860
37,Pinyug,RU,60.251,47.7842,-20.94,85,100,10.09,1612757860
38,Port Alfred,ZA,-33.5906,26.891,64.99,86,75,4.0,1612757861
39,Kieta,PG,-6.2167,155.6333,84.11,75,64,8.9,1612757861
40,Bambous Virieux,MU,-20.3428,57.7575,84.2,65,40,12.66,1612757861
41,Hermanus,ZA,-34.4187,19.2345,55.99,94,31,3.6,1612757861
42,Mareeba,AU,-17.0,145.4333,89.01,79,97,5.75,1612757861
43,San Patricio,US,28.017,-97.5169,63.0,82,20,10.36,1612757862
44,Shevchenkove,UA,49.6959,37.1735,10.4,67,0,2.24,1612757862
45,Preobrazheniye,RU,42.9019,133.9064,15.12,76,0,11.86,1612757862
46,Dikson,RU,73.5069,80.5464,-29.94,85,91,18.63,1612757862
47,Puerto Escondido,MX,15.85,-97.0667,80.6,83,20,4.56,1612757863
48,Madang,PG,-5.2246,145.7966,86.63,61,100,1.43,1612757863
49,Serchhīp,IN,23.3,92.8333,69.8,56,0,1.86,1612757863
50,Tasiilaq,GL,65.6145,-37.6368,30.2,51,75,14.97,1612757863
51,Camapuã,BR,-19.5314,-54.0439,67.08,71,0,4.74,1612757864
52,Vaitape,PF,-16.5167,-151.75,82.04,76,26,12.5,1612757864
53,Khatanga,RU,71.9667,102.5,-24.21,80,60,13.65,1612757864
54,Portland,US,45.5234,-122.6762,44.01,77,93,1.99,1612757281
55,Rikitea,PF,-23.1203,-134.9692,77.47,72,76,14.34,1612757864
56,Hervey Bay,AU,-25.2986,152.8535,82.99,74,90,18.41,1612757865
57,Santa Helena de Goiás,BR,-17.8136,-50.5969,71.01,79,65,2.66,1612757865
58,Tezu,IN,27.9167,96.1667,74.79,20,0,4.09,1612757865
59,Rangāpāra,IN,26.8167,92.65,71.65,34,0,4.36,1612757865
60,Leningradskiy,RU,69.3833,178.4167,-17.45,87,7,8.52,1612757866
61,Camacha,PT,33.0833,-16.3333,60.8,88,40,14.97,1612757866
62,Richmond,US,37.5538,-77.4603,35.6,60,75,4.61,1612757674
63,Miquelon,PM,47.0975,-56.3814,29.41,92,100,4.03,1612757866
64,Nyurba,RU,63.2842,118.3319,-0.22,92,99,5.95,1612757867
65,Lompoc,US,34.6391,-120.4579,53.6,87,90,6.91,1612757867
66,Cherskiy,RU,68.75,161.3,4.98,74,0,1.57,1612757867
67,Pinheiro,BR,-2.5214,-45.0825,73.76,98,26,2.01,1612757867
68,Kulhudhuffushi,MV,6.6221,73.07,81.61,70,31,8.9,1612757867
69,Hilo,US,19.7297,-155.09,75.2,64,75,3.44,1612757603
70,Busselton,AU,-33.65,115.3333,66.99,90,96,8.01,1612757716
71,Province of Mantua,IT,45.1667,10.7833,46.0,96,25,1.99,1612757869
72,Upernavik,GL,72.7868,-56.1549,18.34,78,15,4.54,1612757870
73,Evanston,US,42.0411,-87.6901,1.4,65,75,5.75,1612757870
74,Ancud,CL,-41.8697,-73.8203,60.01,88,0,5.75,1612757871
75,Pitimbu,BR,-7.4706,-34.8086,78.8,83,20,5.75,1612757872
76,Katsuura,JP,35.1333,140.3,48.99,45,75,11.5,1612757835
77,Mobaye,CF,4.319,21.1786,62.17,31,99,2.89,1612757872
78,Assiniboia,CA,49.6334,-105.9845,-27.4,62,10,5.75,1612757873
79,Stepnyak,KZ,52.8339,70.7803,14.76,97,99,8.7,1612757873
80,Pevek,RU,69.7008,170.3133,-7.31,81,0,0.85,1612757873
81,Yangi Marg`ilon,UZ,40.4272,71.7189,42.8,81,59,1.28,1612757873
82,Chokurdakh,RU,70.6333,147.9167,-11.92,89,96,6.8,1612757873
83,Butaritari,KI,3.0707,172.7902,81.19,78,25,17.05,1612757712
84,Port Hardy,CA,50.6996,-127.4199,39.2,80,40,8.05,1612757874
85,Salalah,OM,17.0151,54.0924,69.8,68,0,5.75,1612757874
86,Yellowknife,CA,62.456,-114.3525,-35.0,67,75,9.22,1612757875
87,Jamestown,US,42.097,-79.2353,12.0,85,90,6.91,1612757875
88,Petropavl,KZ,54.8753,69.1628,6.8,78,75,13.42,1612757875
89,Dhangadhi,NP,28.7079,80.5961,65.34,41,0,2.93,1612757875
90,Saldanha,ZA,-33.0117,17.9442,60.8,77,0,6.91,1612757876
91,Mayumba,GA,-3.432,10.6554,77.34,87,100,3.4,1612757876
92,Atuona,PF,-9.8,-139.0333,79.34,76,16,19.46,1612757711
93,Deder,ET,9.3167,41.45,52.48,97,90,5.3,1612757876
94,Hofn,IS,64.2539,-15.2082,36.91,81,100,14.61,1612757876
95,Moindou,NC,-21.6924,165.677,84.2,70,90,8.05,1612757877
96,Bathsheba,BB,13.2167,-59.5167,77.0,65,20,16.11,1612757877
97,Dudinka,RU,69.4058,86.1778,-23.24,83,98,12.26,1612757645
98,Yelizovo,RU,53.1873,158.3805,24.8,80,75,8.95,1612757877
99,Cape Town,ZA,-33.9258,18.4232,68.0,72,40,11.5,1612757637
100,Longyearbyen,SJ,78.2186,15.6401,15.8,41,0,13.8,1612757878
101,Batman,TR,37.8874,41.1322,33.8,100,0,4.61,1612757878
102,Panama City,PA,8.9936,-79.5197,77.0,83,75,5.75,1612757878
103,Acapulco de Juárez,MX,16.8634,-99.8901,80.6,74,20,9.22,1612757878
104,Kununurra,AU,-15.7667,128.7333,93.2,62,92,9.22,1612757879
105,Coahuayana Viejo,MX,18.7333,-103.6833,73.26,77,44,1.41,1612757879
106,Bethel,US,41.3712,-73.414,26.6,63,90,10.36,1612757879
107,Ambulu,ID,-8.345,113.6058,87.78,61,97,3.31,1612757879
108,San Jose,US,37.3394,-121.895,55.0,71,40,0.87,1612757815
109,Kapaa,US,22.0752,-159.319,71.6,56,40,2.8,1612757880
110,Bantou,CN,26.2151,117.4893,77.97,46,68,3.15,1612757880
111,Bredasdorp,ZA,-34.5322,20.0403,57.2,82,22,5.75,1612757880
112,Ixtapa,MX,20.7,-105.2,68.0,88,1,1.19,1612757881
113,Ribeira Grande,PT,38.5167,-28.7,59.31,81,33,20.49,1612757881
114,Dingle,PH,10.9995,122.6711,75.79,93,100,9.35,1612757881
115,Superior,US,46.7208,-92.1041,-7.6,49,90,4.61,1612757881
116,Sherbakul',RU,54.6316,72.3963,3.2,85,0,6.71,1612757882
117,Nikolskoye,RU,59.7035,30.7861,10.99,85,75,6.71,1612757882
118,Marzuq,YE,14.4,46.4667,58.5,45,0,3.33,1612757883
119,Mount Isa,AU,-20.7333,139.5,89.6,55,90,10.36,1612757603
120,Great Bend,US,38.3645,-98.7648,12.2,92,90,12.66,1612757884
121,Sørland,NO,67.667,12.6934,34.66,82,98,7.49,1612757885
122,Arraial do Cabo,BR,-22.9661,-42.0278,74.26,80,100,1.12,1612757885
123,Madīnat Sittah Uktūbar,EG,29.8167,31.05,57.0,76,0,3.44,1612757886
124,Grand Gaube,MU,-20.0064,57.6608,84.0,69,2,7.0,1612757886
125,Ubatuba,BR,-23.4339,-45.0711,72.28,78,100,2.51,1612757886
126,Norman Wells,CA,65.282,-126.8329,-23.8,76,20,5.75,1612757886
127,Sola,VU,-13.8833,167.55,82.89,60,36,6.78,1612757887
128,Souillac,MU,-20.5167,57.5167,84.2,65,40,12.66,1612757885
129,Moose Factory,CA,51.2585,-80.6094,-20.2,76,1,3.44,1612757887
130,Hong Kong,HK,22.2855,114.1577,75.2,53,20,17.27,1612757887
131,La Santisima Trinidad,BO,-14.8333,-64.9,75.65,83,44,1.77,1612757888
132,Roebourne,AU,-20.7833,117.1333,86.59,48,0,6.91,1612757888
133,Umm Bāb,QA,25.2142,50.8072,64.0,94,1,5.75,1612757888
134,Iqaluit,CA,63.7506,-68.5145,32.0,74,90,17.27,1612757888
135,East London,ZA,-33.0153,27.9116,66.2,94,75,9.22,1612757889
136,Provideniya,RU,64.3833,-173.3,-1.14,85,100,20.83,1612757889
137,Téra,NE,14.0078,0.7531,70.83,22,0,6.22,1612757889
138,Faya,SA,18.3851,42.4509,50.0,57,40,4.61,1612757889
139,Nanortalik,GL,60.1432,-45.2371,31.71,87,96,15.48,1612757889
140,Port Elizabeth,ZA,-33.918,25.5701,64.4,77,0,17.27,1612757890
141,Jieshi,CN,22.8134,115.8257,73.99,66,0,17.96,1612757890
142,Hamilton,US,39.1834,-84.5333,18.0,53,75,9.22,1612757890
143,Maoming,CN,21.65,110.9,68.61,65,100,1.32,1612757890
144,Qasigiannguit,GL,68.8193,-51.1922,19.4,42,0,29.93,1612757891
145,Carnarvon,AU,-24.8667,113.6333,86.0,100,75,14.97,1612757891
146,Turaif,SA,31.6725,38.6637,39.2,100,0,4.61,1612757891
147,Sarangani,PH,5.4033,125.4636,82.09,75,100,4.97,1612757891
148,Saint-Philippe,RE,-21.3585,55.7679,86.0,54,90,5.75,1612757891
149,Thinadhoo,MV,0.5333,72.9333,81.52,80,19,12.86,1612757608
150,Castro,BR,-24.7911,-50.0119,53.37,81,0,5.88,1612757892
151,Kaspiysk,RU,42.8816,47.6392,30.2,86,90,2.24,1612757892
152,Turukhansk,RU,65.8167,87.9833,17.06,97,100,23.04,1612757892
153,Mossamedes,AO,-15.1961,12.1522,72.12,80,83,5.14,1612757893
154,Umluj,SA,25.0213,37.2685,68.63,40,0,26.98,1612757893
155,Neuquén,AR,-38.9516,-68.0591,64.4,52,75,17.27,1612757893
156,Aitape,PG,-3.1374,142.3475,85.14,66,58,6.4,1612757893
157,Monte Patria,CL,-30.6919,-70.9467,59.11,67,0,0.51,1612757894
158,Safita,SY,34.8205,36.1153,55.4,76,40,8.05,1612757894
159,Klaksvík,FO,62.2266,-6.589,33.8,64,75,26.46,1612757864
160,Clyde River,CA,70.4692,-68.5914,-0.4,85,1,8.05,1612757894
161,Two Hills,CA,53.7169,-111.7518,-25.6,75,60,6.91,1612757895
162,Beloha,MG,-25.1667,45.05,78.49,84,19,4.54,1612757895
163,Peniche,PT,39.3558,-9.3811,55.0,86,38,17.0,1612757895
164,Tiksi,RU,71.6872,128.8694,-28.77,86,57,5.28,1612757895
165,Marabá,BR,-5.3686,-49.1178,72.43,97,80,2.15,1612757895
166,Santiago del Estero,AR,-27.7951,-64.2615,73.0,65,2,1.99,1612757647
167,Saint-Augustin,CA,51.226,-58.6502,14.59,93,46,10.42,1612757896
168,Zhigansk,RU,66.7697,123.3711,-24.41,81,0,7.27,1612757898
169,Ventanas,EC,-1.45,-79.4667,75.4,94,100,2.19,1612757899
170,Krutinka,RU,56.0055,71.5113,3.81,93,81,12.95,1612757900
171,Airai,TL,-8.9266,125.4092,70.83,93,100,4.68,1612757900
172,Dwārka,IN,22.2394,68.9678,73.17,40,0,11.39,1612757900
173,Thompson,CA,55.7435,-97.8558,-27.4,68,75,13.8,1612757901
174,Ponta do Sol,PT,32.6667,-17.1,57.99,89,40,4.0,1612757901
175,Hualmay,PE,-11.0964,-77.6139,71.33,78,100,7.23,1612757901
176,Phan Thiet,VN,10.9333,108.1,85.93,50,11,10.09,1612757901
177,Kruisfontein,ZA,-34.0033,24.7314,62.01,87,74,1.01,1612757842
178,Lüderitz,NA,-26.6481,15.1594,66.61,49,0,24.56,1612757902
179,Escanaba,US,45.7453,-87.0646,-8.0,70,1,3.44,1612757636
180,Wajima,JP,37.4,136.9,28.4,93,75,9.22,1612757902
